"TIME","Amm.kg/m^3"
2021-06-22 11:53:00,1.4e-06
2021-06-22 12:53:00,1.4e-06
2021-06-22 13:53:00,1.4e-06
2021-06-22 14:53:00,1.4e-06
2021-06-22 15:53:00,1.4e-06
2021-06-22 16:53:00,1.4e-06
2021-06-22 17:53:00,1.4e-06
2021-06-22 18:53:00,1.4e-06
2021-06-22 19:53:00,1.4e-06
2021-06-22 20:53:00,1.4e-06
2021-06-22 21:53:00,1.4e-06
2021-06-22 22:53:00,1.4e-06
2021-06-22 23:53:00,1.4e-06
2021-06-23 00:53:00,1.4e-06
2021-06-23 01:53:00,1.4e-06
2021-06-23 02:53:00,1.4e-06
2021-06-23 03:53:00,1.4e-06
2021-06-23 04:53:00,1.4e-06
2021-06-23 05:53:00,1.4e-06
2021-06-23 06:53:00,1.4e-06
2021-06-23 09:18:00,1.4e-06
2021-06-23 10:18:00,1.4e-06
2021-06-23 11:18:00,1.4e-06
2021-06-23 12:18:00,1.4e-06
2021-06-23 13:18:00,1.4e-06
2021-06-23 14:18:00,1.4e-06
2021-06-23 15:18:00,1.4e-06
2021-06-23 16:18:00,1.4e-06
2021-06-23 17:18:00,1.4e-06
2021-06-23 18:18:00,1.4e-06
2021-06-23 19:18:00,1.4e-06
2021-06-23 20:18:00,4.28071e-06
2021-06-23 21:18:00,1.4e-06
2021-06-23 22:18:00,1.4e-06
2021-06-23 23:18:00,1.4e-06
2021-06-24 00:18:00,1.4e-06
2021-06-24 01:18:00,1.4e-06
2021-06-24 02:18:00,1.4e-06
2021-06-24 03:18:00,1.4e-06
2021-06-24 04:18:00,1.4e-06
2021-06-24 05:18:00,1.4e-06
2021-06-24 06:18:00,1.4e-06
2021-06-24 07:18:00,1.4e-06
2021-06-24 08:18:00,1.4e-06
2021-06-24 09:18:00,1.4e-06
2021-06-24 10:18:00,1.4e-06
2021-06-24 11:18:00,1.4e-06
2021-06-24 12:18:00,1.4e-06
2021-06-24 13:18:00,1.4e-06
2021-06-24 14:18:00,1.4e-06
2021-06-24 15:18:00,1.4e-06
2021-06-24 16:18:00,1.4e-06
2021-06-24 17:18:00,1.4e-06
2021-06-24 18:18:00,1.4e-06
2021-06-24 19:18:00,1.4e-06
2021-06-24 20:18:00,1.4e-06
2021-06-24 21:18:00,1.4e-06
2021-06-24 22:18:00,1.4e-06
2021-06-24 23:18:00,1.4e-06
2021-06-25 00:18:00,1.4e-06
2021-06-25 01:18:00,1.4e-06
2021-06-25 02:18:00,1.4e-06
2021-06-25 03:18:00,1.4e-06
2021-06-25 04:18:00,1.4e-06
2021-06-25 05:18:00,1.4e-06
2021-06-25 06:18:00,1.4e-06
2021-06-25 07:18:00,1.4e-06
2021-06-25 08:18:00,1.4e-06
2021-06-25 09:18:00,1.4e-06
2021-06-25 10:18:00,1.4e-06
2021-06-25 11:18:00,1.4e-06
2021-06-25 12:18:00,1.4e-06
2021-06-25 13:18:00,1.4e-06
2021-06-25 14:18:00,1.4e-06
2021-06-25 15:18:00,1.4e-06
2021-06-25 16:18:00,1.4e-06
2021-06-25 17:18:00,1.4e-06
2021-06-25 18:18:00,1.4e-06
2021-06-25 19:18:00,1.4e-06
2021-06-25 20:18:00,1.4e-06
2021-06-25 21:18:00,1.4e-06
2021-06-25 22:18:00,1.4e-06
2021-06-25 23:18:00,1.4e-06
2021-06-26 00:18:00,1.4e-06
2021-06-26 01:18:00,1.4e-06
2021-06-26 02:18:00,1.4e-06
2021-06-26 03:18:00,1.4e-06
2021-06-26 04:18:00,1.4e-06
2021-06-26 05:18:00,1.4e-06
2021-06-26 06:18:00,1.4e-06
2021-06-26 07:18:00,1.4e-06
2021-06-26 08:18:00,1.4e-06
2021-06-26 09:18:00,1.4e-06
2021-06-26 10:18:00,1.4e-06
2021-06-26 11:18:00,1.4e-06
2021-06-26 12:18:00,1.4e-06
2021-06-26 13:18:00,1.4e-06
2021-06-26 14:18:00,1.4e-06
2021-06-26 15:18:00,1.4e-06
2021-06-26 16:18:00,1.4e-06
2021-06-26 17:18:00,1.4e-06
2021-06-26 18:18:00,1.4e-06
2021-06-26 19:18:00,1.4e-06
2021-06-26 20:18:00,1.4e-06
2021-06-26 21:18:00,1.4e-06
2021-06-26 22:18:00,1.4e-06
2021-06-26 23:18:00,1.4e-06
2021-06-27 00:18:00,1.4e-06
2021-06-27 01:18:00,1.4e-06
2021-06-27 02:18:00,1.4e-06
2021-06-27 03:18:00,1.4e-06
2021-06-27 04:18:00,1.4e-06
2021-06-27 05:18:00,1.4e-06
2021-06-27 06:18:00,1.4e-06
2021-06-27 07:18:00,1.4e-06
2021-06-27 08:18:00,1.4e-06
