"TIME","K.kg/m^3"
2021-06-17 03:40:00,0.130914
2021-06-17 03:55:00,0.130999
2021-06-17 04:10:00,0.131076
2021-06-17 04:25:00,0.131158
2021-06-17 04:40:00,0.131046
2021-06-17 04:55:00,0.131297
2021-06-17 05:10:00,0.131276
2021-06-17 05:25:00,0.131232
2021-06-17 05:40:00,0.131071
2021-06-17 05:55:00,0.131311
2021-06-17 06:10:00,0.130997
2021-06-17 06:25:00,0.130996
2021-06-17 06:40:00,0.13097
2021-06-17 06:55:00,0.130915
2021-06-17 07:10:00,0.130689
2021-06-17 07:25:00,0.130853
2021-06-17 07:40:00,0.130864
2021-06-17 07:55:00,0.130814
2021-06-17 08:10:00,0.130787
2021-06-17 08:25:00,0.129231
2021-06-17 08:40:00,0.130451
2021-06-17 08:55:00,0.130467
2021-06-17 09:10:00,0.130193
2021-06-17 09:25:00,0.130153
2021-06-17 09:40:00,0.12984
2021-06-17 09:55:00,0.129608
2021-06-17 10:10:00,0.1295
2021-06-17 10:25:00,0.129266
2021-06-17 10:40:00,0.129057
2021-06-17 10:55:00,0.128885
2021-06-17 11:10:00,0.128804
2021-06-17 11:25:00,0.128455
2021-06-17 11:40:00,0.128062
2021-06-17 11:55:00,0.128023
2021-06-17 12:10:00,0.127969
2021-06-17 12:25:00,0.127701
2021-06-17 12:40:00,0.127386
2021-06-17 12:55:00,0.127465
2021-06-17 13:10:00,0.127214
2021-06-17 13:25:00,0.127017
2021-06-17 13:40:00,0.12698
2021-06-17 13:55:00,0.126491
2021-06-17 14:10:00,0.126337
2021-06-17 14:25:00,0.126366
2021-06-17 14:40:00,0.126212
2021-06-17 14:55:00,0.126278
2021-06-17 15:10:00,0.141997
2021-06-17 15:25:00,0.141916
2021-06-17 15:40:00,0.141724
2021-06-17 15:55:00,0.141771
2021-06-17 16:10:00,0.141766
2021-06-17 16:25:00,0.141879
2021-06-17 16:40:00,0.142088
2021-06-17 16:55:00,0.142224
2021-06-17 17:10:00,0.142479
2021-06-17 17:25:00,0.143361
2021-06-17 17:40:00,0.144246
2021-06-17 17:55:00,0.144193
2021-06-17 18:10:00,0.144769
2021-06-17 18:25:00,0.145197
2021-06-17 18:40:00,0.145415
2021-06-17 18:55:00,0.145475
2021-06-17 19:10:00,0.145699
2021-06-17 19:25:00,0.145432
2021-06-17 19:40:00,0.145683
2021-06-17 19:55:00,0.146057
2021-06-17 20:10:00,0.146064
2021-06-17 20:25:00,0.146024
2021-06-17 20:40:00,0.146279
2021-06-17 20:55:00,0.146495
2021-06-17 21:10:00,0.14661
2021-06-17 21:25:00,0.146656
2021-06-17 21:40:00,0.147143
2021-06-17 21:55:00,0.146799
2021-06-17 22:10:00,0.147343
2021-06-17 22:25:00,0.147708
2021-06-17 22:40:00,0.14741
2021-06-17 22:55:00,0.147649
2021-06-17 23:10:00,0.147665
2021-06-17 23:39:00,0.14727
2021-06-18 00:08:00,0.147432
2021-06-18 00:23:00,0.14736
2021-06-18 00:38:00,0.147453
2021-06-18 00:53:00,0.147405
2021-06-18 01:08:00,0.147723
2021-06-18 01:23:00,0.147487
2021-06-18 01:38:00,0.147512
2021-06-18 01:53:00,0.147438
2021-06-18 02:08:00,0.147378
2021-06-18 02:23:00,0.147543
2021-06-18 02:38:00,0.147738
2021-06-18 02:53:00,0.147547
2021-06-18 03:08:00,0.147486
2021-06-18 03:23:00,0.147639
2021-06-18 03:38:00,0.147512
2021-06-18 03:53:00,0.147654
2021-06-18 04:08:00,0.147567
2021-06-18 04:23:00,0.147806
2021-06-18 04:38:00,0.147547
2021-06-18 04:53:00,0.147763
2021-06-18 05:08:00,0.147767
2021-06-18 05:23:00,0.14765
2021-06-18 05:38:00,0.14767
2021-06-18 05:53:00,0.147553
2021-06-18 06:08:00,0.147559
2021-06-18 06:23:00,0.147731
2021-06-18 06:38:00,0.147549
2021-06-18 06:53:00,0.147468
2021-06-18 07:08:00,0.147338
2021-06-18 07:23:00,0.14731
2021-06-18 07:38:00,0.1477
2021-06-18 07:53:00,0.147527
2021-06-18 08:08:00,0.147042
2021-06-18 08:23:00,0.14735
2021-06-18 08:38:00,0.147153
2021-06-18 08:53:00,0.146954
2021-06-18 09:08:00,0.146637
2021-06-18 09:23:00,0.146232
2021-06-18 09:38:00,0.145828
2021-06-18 09:53:00,0.145645
2021-06-18 10:08:00,0.145304
2021-06-18 10:23:00,0.144894
2021-06-18 10:38:00,0.146175
2021-06-18 10:53:00,0.14667
2021-06-18 11:08:00,0.146573
2021-06-18 11:23:00,0.146006
2021-06-18 11:38:00,0.145652
2021-06-18 11:53:00,0.145569
2021-06-18 12:08:00,0.145706
2021-06-18 12:23:00,0.145186
2021-06-18 12:38:00,0.145461
2021-06-18 12:53:00,0.145067
2021-06-18 13:08:00,0.144272
2021-06-18 13:23:00,0.144221
2021-06-18 13:38:00,0.144155
2021-06-18 13:53:00,0.143935
2021-06-18 14:08:00,0.143996
2021-06-18 14:23:00,0.143934
2021-06-18 14:38:00,0.143915
2021-06-18 14:53:00,0.143593
2021-06-18 15:08:00,0.1442
2021-06-18 15:23:00,0.143965
2021-06-18 15:38:00,0.144203
2021-06-18 15:53:00,0.144052
2021-06-18 16:08:00,0.144278
2021-06-18 16:23:00,0.144353
2021-06-18 16:38:00,0.144666
2021-06-18 16:53:00,0.144559
2021-06-18 17:08:00,0.144871
2021-06-18 17:23:00,0.144789
2021-06-18 17:38:00,0.145162
2021-06-18 17:53:00,0.14502
2021-06-18 18:08:00,0.145335
2021-06-18 18:23:00,0.145587
2021-06-18 18:38:00,0.145492
2021-06-18 18:53:00,0.145705
2021-06-18 19:08:00,0.145641
2021-06-18 19:23:00,0.145645
2021-06-18 19:38:00,0.145546
2021-06-18 19:53:00,0.145823
2021-06-18 20:08:00,0.146085
2021-06-18 20:23:00,0.146186
2021-06-18 20:38:00,0.146506
2021-06-18 20:53:00,0.146639
2021-06-18 21:08:00,0.146671
2021-06-18 21:23:00,0.146858
2021-06-18 21:38:00,0.146951
2021-06-18 21:53:00,0.147133
2021-06-18 22:08:00,0.147095
2021-06-18 22:23:00,0.147333
2021-06-18 22:38:00,0.147415
2021-06-18 22:53:00,0.14754
2021-06-18 23:08:00,0.147661
2021-06-18 23:23:00,0.147787
2021-06-18 23:38:00,0.147829
2021-06-18 23:53:00,0.147934
2021-06-19 00:08:00,0.148097
2021-06-19 00:23:00,0.148126
2021-06-19 00:38:00,0.148294
2021-06-19 00:53:00,0.148224
2021-06-19 01:08:00,0.148335
2021-06-19 01:23:00,0.14819
2021-06-19 01:38:00,0.148459
2021-06-19 01:53:00,0.148368
2021-06-19 02:08:00,0.148448
2021-06-19 02:23:00,0.148452
2021-06-19 02:38:00,0.148457
2021-06-19 02:53:00,0.148442
2021-06-19 03:08:00,0.148423
2021-06-19 03:23:00,0.148599
2021-06-19 03:38:00,0.148561
2021-06-19 03:53:00,0.148499
2021-06-19 04:08:00,0.14859
2021-06-19 04:23:00,0.148544
2021-06-19 04:38:00,0.148495
2021-06-19 04:53:00,0.148492
2021-06-19 05:08:00,0.148399
2021-06-19 05:23:00,0.148313
2021-06-19 05:38:00,0.148274
2021-06-19 05:53:00,0.148223
2021-06-19 06:08:00,0.148108
2021-06-19 06:23:00,0.148173
2021-06-19 06:38:00,0.148224
2021-06-19 06:53:00,0.148047
2021-06-19 07:08:00,0.147977
2021-06-19 07:23:00,0.147896
2021-06-19 07:38:00,0.147948
2021-06-19 07:53:00,0.147844
2021-06-19 08:08:00,0.14773
2021-06-19 08:23:00,0.147666
2021-06-19 08:38:00,0.147227
2021-06-19 08:53:00,0.147117
2021-06-19 09:08:00,0.147114
2021-06-19 09:23:00,0.146909
2021-06-19 09:38:00,0.146689
2021-06-19 09:53:00,0.146586
2021-06-19 10:08:00,0.146317
2021-06-19 10:23:00,0.146036
2021-06-19 10:38:00,0.145842
2021-06-19 10:53:00,0.145469
2021-06-19 11:08:00,0.145332
2021-06-19 11:23:00,0.145853
2021-06-19 11:38:00,0.146942
2021-06-19 11:53:00,0.14697
2021-06-19 12:08:00,0.146311
2021-06-19 12:23:00,0.145958
2021-06-19 12:38:00,0.145541
2021-06-19 12:53:00,0.145531
2021-06-19 13:08:00,0.145216
2021-06-19 13:23:00,0.145009
2021-06-19 13:38:00,0.144959
2021-06-19 13:53:00,0.144984
2021-06-19 14:08:00,0.145031
2021-06-19 14:23:00,0.144757
2021-06-19 14:38:00,0.14466
2021-06-19 14:53:00,0.144687
2021-06-19 15:08:00,0.144442
2021-06-19 15:23:00,0.144591
2021-06-19 15:38:00,0.144455
2021-06-19 15:53:00,0.1445
2021-06-19 16:08:00,0.144816
2021-06-19 16:23:00,0.14471
2021-06-19 16:38:00,0.14475
2021-06-19 16:53:00,0.145215
2021-06-19 17:08:00,0.145068
2021-06-19 17:23:00,0.145336
2021-06-19 17:38:00,0.145295
2021-06-19 17:53:00,0.145363
2021-06-19 18:08:00,0.145422
2021-06-19 18:23:00,0.145519
2021-06-19 18:38:00,0.145435
2021-06-19 18:53:00,0.145438
2021-06-19 19:08:00,0.145712
2021-06-19 19:23:00,0.146051
2021-06-19 19:38:00,0.146675
2021-06-19 19:53:00,0.146965
2021-06-19 20:08:00,0.147232
2021-06-19 20:23:00,0.147001
2021-06-19 20:38:00,0.147538
2021-06-19 20:53:00,0.147413
2021-06-19 21:08:00,0.147416
2021-06-19 21:23:00,0.147615
2021-06-19 21:38:00,0.147749
